Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,price_range
Jet Airways,3/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,05:30,19:00,13h 30m,2 stops,In-flight meal not included,10368,10000-12500
Multiple carriers,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:20,19:00,8h 40m,1 stop,In-flight meal not included,10791,10000-12500
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,23:35 25 May,28h 40m,1 stop,In-flight meal not included,10844,10000-12500
GoAir,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,14:25,19:35,5h 10m,1 stop,No info,10188,10000-12500
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:00,19:00,12h,1 stop,No info,10197,10000-12500
Jet Airways,9/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,19:30,04:25 10 Jun,8h 55m,2 stops,In-flight meal not included,10368,10000-12500
Jet Airways,18/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,18:15 19 May,25h 45m,1 stop,In-flight meal not included,10844,10000-12500
Jet Airways,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,07:05,19:00,11h 55m,1 stop,In-flight meal not included,10262,10000-12500
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,14:00,19:00,5h,1 stop,In-flight meal not included,10262,10000-12500
Jet Airways,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,16:00,19:00 28 Jun,27h,1 stop,In-flight meal not included,10262,10000-12500
Jet Airways,6/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,23:35,7h 5m,1 stop,In-flight meal not included,10844,10000-12500
Jet Airways,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,22:50,12:35 28 Jun,13h 45m,1 stop,In-flight meal not included,10262,10000-12500
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,09:20 25 May,13h 20m,1 stop,In-flight meal not included,10844,10000-12500
Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,21:05 13 May,28h 5m,1 stop,No info,12121,10000-12500
Jet Airways,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,04:25 10 May,15h 25m,1 stop,In-flight meal not included,12373,10000-12500
Jet Airways,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,02:15,12:35,10h 20m,1 stop,In-flight meal not included,10262,10000-12500
Air India,21/05/2019,Delhi,Cochin,DEL ? HYD ? BOM ? COK,17:15,19:15 22 May,26h,2 stops,No info,11972,10000-12500
Jet Airways,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,20:55,19:00 04 Jun,22h 5m,1 stop,In-flight meal not included,10262,10000-12500
Air India,12/05/2019,Kolkata,Banglore,CCU ? BBI ? IXR ? DEL ? BLR,12:00,23:15 13 May,35h 15m,3 stops,No info,10991,10000-12500
Jet Airways,27/06/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,13:25,19:00 28 Jun,29h 35m,2 stops,In-flight meal not included,11150,10000-12500
Jet Airways,9/06/2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,04:25 10 Jun,19h 25m,1 stop,In-flight meal not included,10262,10000-12500
Jet Airways,9/06/2019,Delhi,Cochin,DEL ? BOM ? COK,15:00,19:00 10 Jun,28h,1 stop,In-flight meal not included,10262,10000-12500
Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,16:20 13 May,21h 25m,1 stop,In-flight meal not included,10844,10000-12500
Jet Airways,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,14:00,04:25 04 Jun,14h 25m,1 stop,In-flight meal not included,10262,10000-12500
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,14:00,04:25 19 May,14h 25m,1 stop,In-flight meal not included,12373,10000-12500
Air India,18/05/2019,Kolkata,Banglore,CCU ? JAI ? BOM ? BLR,08:20,07:55 19 May,23h 35m,2 stops,No info,10697,10000-12500
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,05:30,04:25 16 Jun,22h 55m,2 stops,In-flight meal not included,10368,10000-12500
Air India,21/05/2019,Delhi,Cochin,DEL ? NAG ? BOM ? COK,05:55,19:15 22 May,37h 20m,2 stops,No info,10493,10000-12500
IndiGo,12/06/2019,Delhi,Cochin,DEL ? PNQ ? COK,23:30,04:35 13 Jun,5h 5m,1 stop,No info,10112,10000-12500
Jet Airways,3/06/2019,Delhi,Cochin,DEL ? IDR ? BOM ? COK,21:25,12:35 04 Jun,15h 10m,2 stops,In-flight meal not included,11507,10000-12500
Jet Airways,21/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,04:40 22 May,8h 40m,1 stop,In-flight meal not included,10844,10000-12500
Multiple carriers,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,19:00,10h,1 stop,No info,10407,10000-12500
Jet Airways,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,12:35 13 Jun,23h 35m,1 stop,In-flight meal not included,10262,10000-12500
Jet Airways,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,17:30,12:35 04 Jun,19h 5m,1 stop,In-flight meal not included,10262,10000-12500
Air India,15/06/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,05:00,07:40 16 Jun,26h 40m,2 stops,No info,10231,10000-12500
Air India,24/06/2019,Delhi,Cochin,DEL ? HYD ? BOM ? COK,17:15,07:40 25 Jun,14h 25m,2 stops,No info,11989,10000-12500
Air India,21/05/2019,Delhi,Cochin,DEL ? GOI ? BOM ? COK,22:00,19:15 22 May,21h 15m,2 stops,No info,10231,10000-12500
Jet Airways,21/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,16:20 22 May,19h 10m,1 stop,In-flight meal not included,10844,10000-12500
Multiple carriers,9/06/2019,Delhi,Cochin,DEL ? BOM ? COK,08:00,19:00,11h,1 stop,No info,12192,10000-12500
Jet Airways,6/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,18:15,11h 45m,1 stop,In-flight meal not included,10844,10000-12500
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,22:50,04:25 19 May,5h 35m,1 stop,In-flight meal not included,12373,10000-12500
Air India,21/05/2019,Delhi,Cochin,DEL ? GOI ? BOM ? COK,22:00,19:15 22 May,21h 15m,2 stops,No info,10231,10000-12500
Air India,1/06/2019,Delhi,Cochin,DEL ? GOI ? BOM ? COK,22:00,19:15 02 Jun,21h 15m,2 stops,No info,10441,10000-12500
Air India,24/06/2019,Delhi,Cochin,DEL ? HYD ? MAA ? COK,07:05,09:25 25 Jun,26h 20m,2 stops,No info,11185,10000-12500
Jet Airways,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,21:50,04:25 13 Jun,6h 35m,1 stop,In-flight meal not included,10262,10000-12500
Multiple carriers,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,11:25,19:00,7h 35m,1 stop,No info,10877,10000-12500
Multiple carriers,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,07:30,19:00,11h 30m,1 stop,No info,11200,10000-12500
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,17:30,04:25 16 Jun,10h 55m,1 stop,In-flight meal not included,10262,10000-12500
Multiple carriers,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,06:00,19:00,13h,1 stop,No info,11789,10000-12500
Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,11:40,19:00,7h 20m,1 stop,No info,10529,10000-12500
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,18:15,11h 45m,1 stop,In-flight meal not included,10844,10000-12500
Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,18:15,9h 50m,1 stop,In-flight meal not included,10844,10000-12500
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,08:00,19:00,11h,1 stop,In-flight meal not included,12373,10000-12500
Jet Airways,6/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,09:20 07 Jun,12h 10m,1 stop,In-flight meal not included,10844,10000-12500
Air India,12/05/2019,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,12:00,18:30 13 May,30h 30m,2 stops,No info,10676,10000-12500
SpiceJet,6/06/2019,Kolkata,Banglore,CCU ? IXB ? BLR,11:15,18:30,7h 15m,1 stop,No info,10156,10000-12500
Air India,1/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,10:00,23:15,13h 15m,1 stop,No info,10203,10000-12500
Air India,1/05/2019,Kolkata,Banglore,CCU ? IXR ? DEL ? BLR,05:50,20:25,14h 35m,2 stops,No info,10991,10000-12500
Jet Airways,1/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,09:45 02 May,24h 10m,1 stop,No info,11467,10000-12500
Jet Airways,6/06/2019,Delhi,Cochin,DEL ? BOM ? COK,02:15,19:00,16h 45m,1 stop,In-flight meal not included,10262,10000-12500
Air India,27/06/2019,Delhi,Cochin,DEL ? RPR ? NAG ? BOM ? COK,05:15,07:40 28 Jun,26h 25m,3 stops,No info,11543,10000-12500
Air India,9/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:00,20:25,13h 25m,1 stop,No info,10203,10000-12500
Jet Airways,9/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,16:20,7h 55m,1 stop,In-flight meal not included,10844,10000-12500
Multiple carriers,9/06/2019,Delhi,Cochin,DEL ? BOM ? COK,08:30,19:00,10h 30m,1 stop,No info,11622,10000-12500
Multiple carriers,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,08:00,19:00,11h,1 stop,No info,12192,10000-12500
Jet Airways,6/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,22:35 07 Jun,26h 35m,1 stop,In-flight meal not included,10844,10000-12500
Jet Airways,9/06/2019,Delhi,Cochin,DEL ? BOM ? COK,20:55,04:25 10 Jun,7h 30m,1 stop,In-flight meal not included,10577,10000-12500
Jet Airways,18/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,20:45,6h 40m,1 stop,In-flight meal not included,10844,10000-12500
Multiple carriers,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,03:50,12:35,8h 45m,1 stop,No info,12192,10000-12500
Air India,6/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:30,20:25 07 Jun,26h 55m,1 stop,No info,10413,10000-12500
Jet Airways,9/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,12:00 10 Jun,16h,1 stop,In-flight meal not included,10844,10000-12500
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,18:15,12:35 19 May,18h 20m,1 stop,In-flight meal not included,12373,10000-12500
Jet Airways,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,21:50,19:00 28 Jun,21h 10m,1 stop,In-flight meal not included,10262,10000-12500
Air India,9/06/2019,Delhi,Cochin,DEL ? NAG ? BOM ? COK,05:55,19:15 10 Jun,37h 20m,2 stops,No info,10493,10000-12500
Air India,18/05/2019,Delhi,Cochin,DEL ? HYD ? BOM ? COK,17:15,19:15 19 May,26h,2 stops,No info,12392,10000-12500
Multiple carriers,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,04:55,12:35,7h 40m,1 stop,No info,10678,10000-12500
Jet Airways,6/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,18:15 07 Jun,23h 20m,1 stop,In-flight meal not included,10844,10000-12500
Air India,9/06/2019,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,12:00,07:55 10 Jun,19h 55m,2 stops,No info,10151,10000-12500
Jet Airways,6/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,05:30,04:25 07 Jun,22h 55m,2 stops,In-flight meal not included,10368,10000-12500
Air India,3/06/2019,Delhi,Cochin,DEL ? LKO ? BOM ? COK,12:20,19:15 04 Jun,30h 55m,2 stops,No info,12488,10000-12500
Air India,24/06/2019,Delhi,Cochin,DEL ? HYD ? BOM ? COK,17:15,19:15 25 Jun,26h,2 stops,No info,11989,10000-12500
Air Asia,3/06/2019,Delhi,Cochin,DEL ? BLR ? COK,20:45,06:35 04 Jun,9h 50m,1 stop,No info,11410,10000-12500
Jet Airways,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,22:50,19:00 10 May,20h 10m,1 stop,In-flight meal not included,12373,10000-12500
Multiple carriers,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,19:00,10h,1 stop,No info,12192,10000-12500
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,09:40,19:00,9h 20m,2 stops,In-flight meal not included,10368,10000-12500
Air India,12/06/2019,Kolkata,Banglore,CCU ? BOM ? COK ? BLR,09:25,13:45 13 Jun,28h 20m,2 stops,No info,11542,10000-12500
Air India,15/05/2019,Delhi,Cochin,DEL ? BLR ? COK,20:30,08:15 16 May,11h 45m,1 stop,No info,10671,10000-12500
Jet Airways,6/06/2019,Delhi,Cochin,DEL ? LKO ? BOM ? COK,11:45,04:25 07 Jun,16h 40m,2 stops,In-flight meal not included,11992,10000-12500
Multiple carriers,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,07:30,19:00,11h 30m,1 stop,No info,10877,10000-12500
Air India,9/05/2019,Delhi,Cochin,DEL ? GOI ? BOM ? COK,22:00,19:15 10 May,21h 15m,2 stops,No info,10441,10000-12500
Multiple carriers,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,04:55,19:00,14h 5m,1 stop,No info,10678,10000-12500
Jet Airways,1/06/2019,Delhi,Cochin,DEL ? NAG ? BOM ? COK,06:45,04:25 02 Jun,21h 40m,2 stops,In-flight meal not included,10919,10000-12500
Jet Airways,6/06/2019,Delhi,Cochin,DEL ? BOM ? COK,21:50,19:00 07 Jun,21h 10m,1 stop,In-flight meal not included,10262,10000-12500
Jet Airways,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,19:15,04:25 10 May,9h 10m,1 stop,In-flight meal not included,12373,10000-12500
Multiple carriers,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,11:40,19:00,7h 20m,1 stop,No info,11789,10000-12500
Jet Airways,9/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,08:15 10 Jun,13h 20m,1 stop,In-flight meal not included,11841,10000-12500
Multiple carriers,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,11:40,19:00,7h 20m,1 stop,No info,11789,10000-12500
Jet Airways,9/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,05:30,04:25 10 Jun,22h 55m,2 stops,In-flight meal not included,10368,10000-12500
