Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,price_range
Air India,21/03/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:45,19:15 22 Mar,23h 30m,2 stops,No info,8236,7500-10000
Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,04:40 10 May,22h 10m,1 stop,In-flight meal not included,8586,7500-10000
Multiple carriers,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,08:30,19:15,10h 45m,1 stop,No info,8937,7500-10000
IndiGo,03/03/2019,Banglore,New Delhi,BLR ? LKO ? DEL,05:25,10:10,4h 45m,1 stop,No info,7774,7500-10000
IndiGo,27/05/2019,Delhi,Cochin,DEL ? HYD ? COK,07:35,16:10,8h 35m,1 stop,No info,7514,7500-10000
Air India,9/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:50,18:30 10 May,25h 40m,1 stop,No info,8576,7500-10000
IndiGo,24/03/2019,Kolkata,Banglore,CCU ? BLR,20:25,23:05,2h 40m,non-stop,No info,8872,7500-10000
Multiple carriers,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,07:30,19:15,11h 45m,1 stop,No info,9100,7500-10000
IndiGo,15/05/2019,Delhi,Cochin,DEL ? MAA ? COK,02:00,07:25,5h 25m,1 stop,No info,8618,7500-10000
IndiGo,6/03/2019,Mumbai,Hyderabad,BOM ? GOI ? HYD,15:45,23:00,7h 15m,1 stop,No info,7681,7500-10000
Air India,27/05/2019,Delhi,Cochin,DEL ? BLR ? COK,09:45,23:00,13h 15m,1 stop,No info,8907,7500-10000
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,12:00 07 May,14h 50m,1 stop,In-flight meal not included,9663,7500-10000
Jet Airways,27/06/2019,Mumbai,Hyderabad,BOM ? HYD,10:20,11:50,1h 30m,non-stop,No info,8040,7500-10000
Air India,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,21:00,19:15 02 Jun,22h 15m,1 stop,No info,8582,7500-10000
Air Asia,9/06/2019,Delhi,Cochin,DEL ? BLR ? COK,07:55,13:25,5h 30m,1 stop,No info,8759,7500-10000
Air India,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,03:50,19:15,15h 25m,1 stop,No info,8879,7500-10000
Vistara,6/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,23:25 07 Jun,27h 5m,1 stop,No info,9345,7500-10000
Vistara,9/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,23:25,16h 15m,1 stop,No info,8085,7500-10000
IndiGo,01/03/2019,Banglore,New Delhi,BLR ? HYD ? DEL,16:55,21:50,4h 55m,1 stop,No Info,8153,7500-10000
Multiple carriers,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,06:40,19:15,12h 35m,1 stop,No info,8937,7500-10000
Air India,3/03/2019,Delhi,Cochin,DEL ? HYD ? MAA ? COK,07:05,09:25 04 Mar,26h 20m,2 stops,No info,9400,7500-10000
Vistara,12/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,09:05 13 Jun,12h 45m,1 stop,No info,7927,7500-10000
Air India,15/03/2019,Banglore,New Delhi,BLR ? CCU ? GAU ? DEL,05:50,22:10,16h 20m,2 stops,No info,9796,7500-10000
Vistara,03/03/2019,Banglore,New Delhi,BLR ? DEL,11:30,14:10,2h 40m,non-stop,No info,8028,7500-10000
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,21:00,11h,1 stop,In-flight meal not included,9275,7500-10000
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,20:45 13 Jun,25h 50m,1 stop,In-flight meal not included,8529,7500-10000
Jet Airways,21/06/2019,Banglore,Delhi,BLR ? DEL,15:15,18:10,2h 55m,non-stop,No info,8016,7500-10000
Air India,3/03/2019,Delhi,Cochin,DEL ? COK,18:05,21:10,3h 5m,non-stop,No info,8666,7500-10000
Vistara,21/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,22:40 22 May,26h 20m,1 stop,No info,8452,7500-10000
Multiple carriers,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,08:30,19:00,10h 30m,1 stop,No info,9627,7500-10000
Multiple carriers,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,11:25,19:00,7h 35m,1 stop,No info,9103,7500-10000
Multiple carriers,6/06/2019,Delhi,Cochin,DEL ? HYD ? COK,09:45,16:10,6h 25m,1 stop,No info,9646,7500-10000
IndiGo,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,18:35,01:30 10 May,6h 55m,1 stop,No info,8542,7500-10000
Jet Airways,1/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,10:05 02 May,14h 5m,1 stop,In-flight meal not included,8586,7500-10000
Air India,18/05/2019,Delhi,Cochin,DEL ? BLR ? COK,17:40,23:00,5h 20m,1 stop,No info,8277,7500-10000
Air India,9/05/2019,Delhi,Cochin,DEL ? HYD ? MAA ? COK,07:05,09:25 10 May,26h 20m,2 stops,No info,9347,7500-10000
Multiple carriers,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,21:00,8h,1 stop,No info,7618,7500-10000
Jet Airways,3/06/2019,Banglore,Delhi,BLR ? DEL,15:15,18:10,2h 55m,non-stop,No info,8016,7500-10000
Multiple carriers,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:30,19:00,11h 30m,1 stop,No info,9794,7500-10000
Multiple carriers,24/06/2019,Delhi,Cochin,DEL ? HYD ? COK,09:45,16:10,6h 25m,1 stop,No info,9646,7500-10000
IndiGo,3/03/2019,Delhi,Cochin,DEL ? HYD ? COK,06:40,16:10,9h 30m,1 stop,No info,9027,7500-10000
Multiple carriers,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,08:00,19:15,11h 15m,1 stop,In-flight meal not included,9871,7500-10000
Jet Airways,21/03/2019,Delhi,Cochin,DEL ? MAA ? BOM ? COK,16:10,18:50 22 Mar,26h 40m,2 stops,In-flight meal not included,8728,7500-10000
Multiple carriers,9/03/2019,Delhi,Cochin,DEL ? HYD ? MAA ? COK,07:05,21:20,14h 15m,2 stops,No info,8620,7500-10000
Jet Airways,21/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,08:00,20:20,12h 20m,1 stop,In-flight meal not included,7832,7500-10000
IndiGo,15/03/2019,Banglore,New Delhi,BLR ? DEL,21:20,00:15 16 Mar,2h 55m,non-stop,No info,8033,7500-10000
IndiGo,27/05/2019,Delhi,Cochin,DEL ? PNQ ? COK,23:30,04:35 28 May,5h 5m,1 stop,No info,9476,7500-10000
Air India,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,19:15,9h 15m,1 stop,No info,7934,7500-10000
Vistara,6/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,10:45 07 Jun,17h 45m,1 stop,No info,9187,7500-10000
Multiple carriers,3/03/2019,Delhi,Cochin,DEL ? HYD ? MAA ? COK,07:05,21:20,14h 15m,2 stops,No info,8291,7500-10000
Vistara,12/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,18:50 13 May,25h 50m,1 stop,No info,9135,7500-10000
Multiple carriers,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:30,19:00,11h 30m,1 stop,No info,9315,7500-10000
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,04:40 25 May,7h 30m,1 stop,In-flight meal not included,9663,7500-10000
IndiGo,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,18:35,01:35 22 Mar,7h,1 stop,No info,9264,7500-10000
Jet Airways,24/06/2019,Banglore,Delhi,BLR ? DEL,07:10,10:10,3h,non-stop,No info,8016,7500-10000
Multiple carriers,15/06/2019,Delhi,Cochin,DEL ? HYD ? COK,13:15,22:30,9h 15m,1 stop,No info,8018,7500-10000
Air India,15/03/2019,Banglore,New Delhi,BLR ? COK ? DEL,06:55,10:50 16 Mar,27h 55m,1 stop,No info,7932,7500-10000
Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,08:15 10 May,12h 15m,1 stop,In-flight meal not included,7757,7500-10000
Air India,21/03/2019,Delhi,Cochin,DEL ? HYD ? BOM ? COK,17:15,19:15 22 Mar,26h,2 stops,No info,8245,7500-10000
Vistara,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,18:50,11h 40m,1 stop,No info,9555,7500-10000
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,09:45 07 May,13h 20m,1 stop,In-flight meal not included,8066,7500-10000
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,10:05 07 May,12h 55m,1 stop,In-flight meal not included,7757,7500-10000
Vistara,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,10:45 25 May,14h 25m,1 stop,No info,9187,7500-10000
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,09:45 07 May,16h 45m,1 stop,In-flight meal not included,8066,7500-10000
Jet Airways,18/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,04:40 19 May,9h 45m,1 stop,In-flight meal not included,8586,7500-10000
Multiple carriers,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,09:15,19:15,10h,1 stop,No info,8099,7500-10000
Multiple carriers,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,06:00,21:00,15h,1 stop,No info,8475,7500-10000
Vistara,21/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,09:05 22 May,25h 55m,1 stop,No info,8452,7500-10000
Jet Airways,21/06/2019,Banglore,Delhi,BLR ? DEL,11:10,14:05,2h 55m,non-stop,No info,8016,7500-10000
Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,12:00 13 May,14h 50m,1 stop,In-flight meal not included,9663,7500-10000
Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,09:20 10 May,16h 50m,1 stop,In-flight meal not included,9663,7500-10000
IndiGo,24/05/2019,Delhi,Cochin,DEL ? BOM ? COK,18:35,01:30 25 May,6h 55m,1 stop,No info,7503,7500-10000
Multiple carriers,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,07:30,19:15,11h 45m,1 stop,No info,9100,7500-10000
Multiple carriers,6/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,01:30 07 Jun,15h 30m,1 stop,No info,7723,7500-10000
IndiGo,24/03/2019,Kolkata,Banglore,CCU ? BBI ? BLR,11:55,16:25,4h 30m,1 stop,No info,9806,7500-10000
Jet Airways,24/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,05:45,10:45,5h,1 stop,In-flight meal not included,8147,7500-10000
Air India,9/04/2019,Delhi,Cochin,DEL ? HYD ? BOM ? COK,17:15,07:40 10 Apr,14h 25m,2 stops,No info,8052,7500-10000
Jet Airways,1/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,12:00 02 May,27h 35m,1 stop,In-flight meal not included,9663,7500-10000
Jet Airways,21/03/2019,Delhi,Cochin,DEL ? BDQ ? BOM ? COK,10:45,04:25 22 Mar,17h 40m,2 stops,In-flight meal not included,8367,7500-10000
Jet Airways,1/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,12:00 02 May,16h,1 stop,In-flight meal not included,9663,7500-10000
Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,06:40,19:15,12h 35m,1 stop,No info,7787,7500-10000
Air Asia,6/03/2019,Delhi,Cochin,DEL ? BLR ? COK,16:45,07:10 07 Mar,14h 25m,1 stop,No info,8627,7500-10000
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? HYD ? COK,09:45,16:10,6h 25m,1 stop,No info,9646,7500-10000
Air India,9/05/2019,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,12:00,07:55 10 May,19h 55m,2 stops,No info,9416,7500-10000
Multiple carriers,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,09:15,19:15,10h,1 stop,No info,9779,7500-10000
IndiGo,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,08:25,15:30,7h 5m,1 stop,No info,8075,7500-10000
Air India,21/05/2019,Delhi,Cochin,DEL ? BLR ? COK,17:40,23:00,5h 20m,1 stop,No info,8067,7500-10000
Vistara,6/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,22:40,15h 30m,1 stop,No info,8452,7500-10000
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,04:40 25 May,14h 35m,1 stop,In-flight meal not included,8586,7500-10000
Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,08:15 13 May,25h 45m,1 stop,In-flight meal not included,8586,7500-10000
Multiple carriers,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,21:00,11h,1 stop,No info,9718,7500-10000
GoAir,15/05/2019,Kolkata,Banglore,CCU ? AMD ? BLR,16:40,00:15 16 May,7h 35m,1 stop,No info,7831,7500-10000
Vistara,6/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,23:25,16h 15m,1 stop,No info,8085,7500-10000
Vistara,15/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,10:45 16 May,14h 25m,1 stop,No info,8452,7500-10000
Air Asia,1/06/2019,Delhi,Cochin,DEL ? BLR ? COK,07:55,13:25,5h 30m,1 stop,No info,9330,7500-10000
Vistara,1/04/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,22:55,5h 55m,1 stop,No info,8977,7500-10000
