Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Air India,9/06/2019,Kolkata,Banglore,CCU ? BBI ? BLR,12:00,13:15 10 Jun,25h 15m,1 stop,No info,7662
Air India,18/04/2019,Delhi,Cochin,DEL ? COK,18:05,21:10,3h 5m,non-stop,No info,8246
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,09:20 07 May,12h 10m,1 stop,In-flight meal not included,9663
Vistara,21/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,18:50 22 May,25h 50m,1 stop,No info,9345
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,10:05 07 May,20h,1 stop,In-flight meal not included,9663
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,12:00 07 May,16h,1 stop,In-flight meal not included,9663
Jet Airways,27/06/2019,Banglore,Delhi,BLR ? DEL,18:55,22:00,3h 5m,non-stop,No info,8016
Multiple carriers,6/06/2019,Delhi,Cochin,DEL ? HYD ? COK,07:05,16:10,9h 5m,1 stop,No info,9646
Multiple carriers,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,08:30,19:15,10h 45m,1 stop,No info,7677
Vistara,9/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,18:50,11h 40m,1 stop,No info,9555
Air India,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,19:15,10h 15m,1 stop,No info,8372
Air India,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:50,07:55 13 Jun,15h 5m,1 stop,No info,8366
Air India,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,07:00,19:15,12h 15m,1 stop,No info,9929
SpiceJet,12/06/2019,Kolkata,Banglore,CCU ? IXB ? BLR,15:55,21:25,5h 30m,1 stop,No info,8224
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,19:50 13 Jun,24h 55m,1 stop,In-flight meal not included,8529
Multiple carriers,6/06/2019,Delhi,Cochin,DEL ? BOM ? COK,07:30,19:15,11h 45m,1 stop,No info,9001
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,12:00,5h 30m,1 stop,In-flight meal not included,9899
Jet Airways,27/06/2019,Banglore,Delhi,BLR ? DEL,15:15,18:10,2h 55m,non-stop,No info,8016
Air India,9/06/2019,Kolkata,Banglore,CCU ? BBI ? BLR,09:10,13:15,4h 5m,1 stop,No info,8996
Jet Airways,21/06/2019,Banglore,Delhi,BLR ? DEL,17:45,20:45,3h,non-stop,In-flight meal not included,7754
Jet Airways,9/06/2019,Banglore,Delhi,BLR ? DEL,18:55,22:00,3h 5m,non-stop,No info,8016
Air India,15/05/2019,Delhi,Cochin,DEL ? TRV ? COK,05:15,06:50 16 May,25h 35m,1 stop,No info,8425
Multiple carriers,12/06/2019,Delhi,Cochin,DEL ? HYD ? COK,07:05,22:30,15h 25m,1 stop,No info,9646
Multiple carriers,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:30,19:00,11h 30m,1 stop,No info,9315
Vistara,1/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,22:40,15h 30m,1 stop,No info,8452
Air India,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:00,19:15,12h 15m,1 stop,No info,8669
Multiple carriers,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,08:45,19:15,10h 30m,1 stop,No info,8266
Vistara,6/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,22:40 07 May,26h 20m,1 stop,No info,8452
Jet Airways,9/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,04:40 10 Jun,9h 45m,1 stop,In-flight meal not included,9663
Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,04:40 16 May,9h 45m,1 stop,In-flight meal not included,9663
Multiple carriers,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,07:30,19:15,11h 45m,1 stop,No info,9736
Air India,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,03:50,19:15,15h 25m,1 stop,No info,8669
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,12:00 13 Jun,16h,1 stop,In-flight meal not included,8529
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,09:20 07 May,19h 15m,1 stop,In-flight meal not included,9663
Vistara,15/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,20:20 16 May,24h,1 stop,No info,8610
Air India,6/06/2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,19:15,6h 15m,1 stop,No info,8372
Vistara,21/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,18:50 22 May,22h 30m,1 stop,No info,9345
Air India,27/06/2019,Delhi,Cochin,DEL ? HYD ? MAA ? COK,13:15,09:25 28 Jun,20h 10m,2 stops,No info,8839
Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,08:30,19:00,10h 30m,1 stop,No info,9627
Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,18:15 10 May,28h 10m,1 stop,In-flight meal not included,7757
Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,10:05 10 May,27h 35m,1 stop,In-flight meal not included,8586
Multiple carriers,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,01:30 02 Jun,12h 30m,1 stop,No info,7723
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,06:00,19:00,13h,1 stop,No info,9794
Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,04:40 16 May,8h 40m,1 stop,In-flight meal not included,8586
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,11:40,19:15,7h 35m,1 stop,No info,9211
Jet Airways,1/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,12:00 02 May,21h 55m,1 stop,In-flight meal not included,9663
Multiple carriers,1/05/2019,Delhi,Cochin,DEL ? BOM ? COK,19:00,01:30 02 May,6h 30m,1 stop,No info,9424
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,23:35,9h 30m,1 stop,In-flight meal not included,9899
Vistara,18/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,10:45 19 May,17h 45m,1 stop,No info,9187
Jet Airways,18/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,10:05 19 May,12h 55m,1 stop,In-flight meal not included,8586
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:00,21:00,14h,1 stop,No info,7888
Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,04:40 10 May,22h 10m,1 stop,In-flight meal not included,8586
Multiple carriers,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,08:30,19:15,10h 45m,1 stop,No info,8937
IndiGo,27/05/2019,Delhi,Cochin,DEL ? HYD ? COK,07:35,16:10,8h 35m,1 stop,No info,7514
Air India,9/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:50,18:30 10 May,25h 40m,1 stop,No info,8576
IndiGo,15/05/2019,Delhi,Cochin,DEL ? MAA ? COK,02:00,07:25,5h 25m,1 stop,No info,8618
Air India,27/05/2019,Delhi,Cochin,DEL ? BLR ? COK,09:45,23:00,13h 15m,1 stop,No info,8907
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,12:00 07 May,14h 50m,1 stop,In-flight meal not included,9663
Jet Airways,27/06/2019,Mumbai,Hyderabad,BOM ? HYD,10:20,11:50,1h 30m,non-stop,No info,8040
Air India,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,21:00,19:15 02 Jun,22h 15m,1 stop,No info,8582
Air Asia,9/06/2019,Delhi,Cochin,DEL ? BLR ? COK,07:55,13:25,5h 30m,1 stop,No info,8759
Air India,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,03:50,19:15,15h 25m,1 stop,No info,8879
Vistara,6/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,23:25 07 Jun,27h 5m,1 stop,No info,9345
Vistara,9/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,23:25,16h 15m,1 stop,No info,8085
Multiple carriers,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,06:40,19:15,12h 35m,1 stop,No info,8937
Vistara,12/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,09:05 13 Jun,12h 45m,1 stop,No info,7927
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,21:00,11h,1 stop,In-flight meal not included,9275
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,20:45 13 Jun,25h 50m,1 stop,In-flight meal not included,8529
Jet Airways,21/06/2019,Banglore,Delhi,BLR ? DEL,15:15,18:10,2h 55m,non-stop,No info,8016
Vistara,21/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,22:40 22 May,26h 20m,1 stop,No info,8452
Multiple carriers,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,08:30,19:00,10h 30m,1 stop,No info,9627
Multiple carriers,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,11:25,19:00,7h 35m,1 stop,No info,9103
Multiple carriers,6/06/2019,Delhi,Cochin,DEL ? HYD ? COK,09:45,16:10,6h 25m,1 stop,No info,9646
IndiGo,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,18:35,01:30 10 May,6h 55m,1 stop,No info,8542
Jet Airways,1/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,10:05 02 May,14h 5m,1 stop,In-flight meal not included,8586
Air India,18/05/2019,Delhi,Cochin,DEL ? BLR ? COK,17:40,23:00,5h 20m,1 stop,No info,8277
Air India,9/05/2019,Delhi,Cochin,DEL ? HYD ? MAA ? COK,07:05,09:25 10 May,26h 20m,2 stops,No info,9347
Jet Airways,3/06/2019,Banglore,Delhi,BLR ? DEL,15:15,18:10,2h 55m,non-stop,No info,8016
Multiple carriers,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:30,19:00,11h 30m,1 stop,No info,9794
Multiple carriers,24/06/2019,Delhi,Cochin,DEL ? HYD ? COK,09:45,16:10,6h 25m,1 stop,No info,9646
Multiple carriers,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,08:00,19:15,11h 15m,1 stop,In-flight meal not included,9871
IndiGo,27/05/2019,Delhi,Cochin,DEL ? PNQ ? COK,23:30,04:35 28 May,5h 5m,1 stop,No info,9476
Vistara,6/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,10:45 07 Jun,17h 45m,1 stop,No info,9187
Vistara,12/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,18:50 13 May,25h 50m,1 stop,No info,9135
Multiple carriers,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:30,19:00,11h 30m,1 stop,No info,9315
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,04:40 25 May,7h 30m,1 stop,In-flight meal not included,9663
Jet Airways,24/06/2019,Banglore,Delhi,BLR ? DEL,07:10,10:10,3h,non-stop,No info,8016
Multiple carriers,15/06/2019,Delhi,Cochin,DEL ? HYD ? COK,13:15,22:30,9h 15m,1 stop,No info,8018
Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,08:15 10 May,12h 15m,1 stop,In-flight meal not included,7757
Vistara,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,18:50,11h 40m,1 stop,No info,9555
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,09:45 07 May,13h 20m,1 stop,In-flight meal not included,8066
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,10:05 07 May,12h 55m,1 stop,In-flight meal not included,7757
Vistara,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,10:45 25 May,14h 25m,1 stop,No info,9187
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,09:45 07 May,16h 45m,1 stop,In-flight meal not included,8066
Jet Airways,18/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,04:40 19 May,9h 45m,1 stop,In-flight meal not included,8586
Multiple carriers,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,09:15,19:15,10h,1 stop,No info,8099
Multiple carriers,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,06:00,21:00,15h,1 stop,No info,8475
Vistara,21/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,09:05 22 May,25h 55m,1 stop,No info,8452
Jet Airways,21/06/2019,Banglore,Delhi,BLR ? DEL,11:10,14:05,2h 55m,non-stop,No info,8016
Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,12:00 13 May,14h 50m,1 stop,In-flight meal not included,9663
Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,09:20 10 May,16h 50m,1 stop,In-flight meal not included,9663
IndiGo,24/05/2019,Delhi,Cochin,DEL ? BOM ? COK,18:35,01:30 25 May,6h 55m,1 stop,No info,7503
Multiple carriers,6/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,01:30 07 Jun,15h 30m,1 stop,No info,7723
Jet Airways,1/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,12:00 02 May,27h 35m,1 stop,In-flight meal not included,9663
Jet Airways,1/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,12:00 02 May,16h,1 stop,In-flight meal not included,9663
Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,06:40,19:15,12h 35m,1 stop,No info,7787
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? HYD ? COK,09:45,16:10,6h 25m,1 stop,No info,9646
Air India,9/05/2019,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,12:00,07:55 10 May,19h 55m,2 stops,No info,9416
Multiple carriers,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,09:15,19:15,10h,1 stop,No info,9779
Air India,21/05/2019,Delhi,Cochin,DEL ? BLR ? COK,17:40,23:00,5h 20m,1 stop,No info,8067
Vistara,6/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,22:40,15h 30m,1 stop,No info,8452
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,04:40 25 May,14h 35m,1 stop,In-flight meal not included,8586
Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,08:15 13 May,25h 45m,1 stop,In-flight meal not included,8586
Multiple carriers,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,21:00,11h,1 stop,No info,9718
GoAir,15/05/2019,Kolkata,Banglore,CCU ? AMD ? BLR,16:40,00:15 16 May,7h 35m,1 stop,No info,7831
Vistara,6/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,23:25,16h 15m,1 stop,No info,8085
Vistara,15/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,10:45 16 May,14h 25m,1 stop,No info,8452
Air Asia,1/06/2019,Delhi,Cochin,DEL ? BLR ? COK,07:55,13:25,5h 30m,1 stop,No info,9330
Multiple carriers,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,10:35,19:15,8h 40m,1 stop,No info,7575
Jet Airways,9/06/2019,Banglore,Delhi,BLR ? DEL,06:00,08:45,2h 45m,non-stop,No info,8016
Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,09:20 13 May,16h 50m,1 stop,In-flight meal not included,9663
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,19:50 07 May,27h 20m,1 stop,In-flight meal not included,9663
Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,08:45,19:15,10h 30m,1 stop,No info,8266
Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,12:50,21:00,8h 10m,1 stop,No info,7670
Air India,18/05/2019,Delhi,Cochin,DEL ? BLR ? COK,17:40,08:15 19 May,14h 35m,1 stop,No info,8361
Multiple carriers,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,09:15,19:15,10h,1 stop,No info,9149
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,08:00,21:00,13h,1 stop,No info,8073
Air India,15/05/2019,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,12:00,07:55 16 May,19h 55m,2 stops,No info,9941
Air India,15/06/2019,Delhi,Cochin,DEL ? BLR ? COK,06:10,23:00,16h 50m,1 stop,No info,8907
Vistara,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,09:05 25 May,25h 55m,1 stop,No info,9502
IndiGo,24/06/2019,Delhi,Cochin,DEL ? PNQ ? COK,23:30,04:35 25 Jun,5h 5m,1 stop,No info,9165
Jet Airways,21/06/2019,Banglore,Delhi,BLR ? DEL,06:00,08:45,2h 45m,non-stop,No info,8016
Multiple carriers,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,10:20,01:30 10 May,15h 10m,1 stop,No info,9021
Multiple carriers,12/06/2019,Delhi,Cochin,DEL ? HYD ? COK,07:05,16:10,9h 5m,1 stop,No info,9646
Air India,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,19:15,10h 15m,1 stop,No info,8372
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,10:05 13 Jun,15h 10m,1 stop,In-flight meal not included,8529
Jet Airways,6/06/2019,Mumbai,Hyderabad,BOM ? HYD,10:20,11:50,1h 30m,non-stop,No info,8040
Vistara,6/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,18:50,11h 40m,1 stop,No info,8610
Multiple carriers,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,12:50,19:15,6h 25m,1 stop,No info,9001
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,10:20,01:30 19 May,15h 10m,1 stop,No info,7670
Multiple carriers,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,17:45,01:30 04 Jun,7h 45m,1 stop,No info,7530
IndiGo,1/05/2019,Kolkata,Banglore,CCU ? PAT ? BLR,09:20,14:15,4h 55m,1 stop,No info,8443
Vistara,18/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,23:25 19 May,27h 5m,1 stop,No info,9345
Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,10:05 10 May,12h 55m,1 stop,In-flight meal not included,9663
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,22:35 13 Jun,27h 40m,1 stop,In-flight meal not included,8529
Air India,6/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,19:15,9h 15m,1 stop,No info,9194
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,17:00,01:30 22 May,8h 30m,1 stop,No info,7888
Jet Airways,21/06/2019,Banglore,Delhi,BLR ? DEL,19:50,22:50,3h,non-stop,In-flight meal not included,7754
Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,10:20,19:15,8h 55m,1 stop,No info,8266
Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,10:05 13 May,15h 10m,1 stop,In-flight meal not included,9663
Air India,1/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:50,07:55 02 May,15h 5m,1 stop,No info,8366
Air India,12/06/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,05:00,19:15 13 Jun,38h 15m,2 stops,No info,9443
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,16:20,9h 50m,1 stop,In-flight meal not included,9899
Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,10:05 16 May,15h 10m,1 stop,In-flight meal not included,9663
Multiple carriers,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,12:50,01:30 04 Jun,12h 40m,1 stop,No info,7530
Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,04:40 16 May,7h 30m,1 stop,In-flight meal not included,9663
Jet Airways,1/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,12:00 02 May,17h 5m,1 stop,In-flight meal not included,9663
Jet Airways,12/06/2019,Banglore,Delhi,BLR ? DEL,08:20,11:20,3h,non-stop,No info,8016
Air Asia,9/06/2019,Kolkata,Banglore,CCU ? IXR ? DEL ? BLR,15:10,23:30,8h 20m,2 stops,No info,7870
Jet Airways,18/06/2019,Banglore,Delhi,BLR ? DEL,18:55,22:00,3h 5m,non-stop,No info,8016
Air India,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,21:00,07:40 16 Jun,10h 40m,1 stop,No info,8372
Multiple carriers,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,06:00,19:15,13h 15m,1 stop,No info,8266
Air India,15/06/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:45,19:15 16 Jun,23h 30m,2 stops,No info,9653
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,20:45,12h 20m,1 stop,In-flight meal not included,9899
Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,10:35,19:15,8h 40m,1 stop,No info,7575
Jet Airways,27/06/2019,Banglore,Delhi,BLR ? DEL,11:10,14:05,2h 55m,non-stop,No info,8016
Multiple carriers,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,10:35,19:15,8h 40m,1 stop,No info,8625
Jet Airways,6/06/2019,Banglore,Delhi,BLR ? DEL,11:10,14:05,2h 55m,non-stop,No info,8016
Air India,9/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,09:25,18:30,9h 5m,1 stop,No info,8891
Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,10:05 10 May,20h,1 stop,In-flight meal not included,7757
Air India,24/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,09:25,18:30,9h 5m,1 stop,No info,8576
IndiGo,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,09:15,01:30 19 May,16h 15m,1 stop,No info,7503
Air India,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,19:15,6h 15m,1 stop,No info,8372
Jet Airways,24/06/2019,Banglore,Delhi,BLR ? DEL,19:50,22:50,3h,non-stop,No info,8016
Air India,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,07:00,19:15,12h 15m,1 stop,No info,8879
Jet Airways,9/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,04:40 10 Jun,22h 10m,1 stop,In-flight meal not included,9663
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? IDR ? BOM ? COK,21:25,12:35 16 Jun,15h 10m,2 stops,In-flight meal not included,9905
Multiple carriers,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,06:00,21:00,15h,1 stop,No info,7740
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,06:00,12:35,6h 35m,1 stop,No info,9794
Multiple carriers,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,07:30,19:15,11h 45m,1 stop,No info,8266
Air India,24/05/2019,Banglore,Delhi,BLR ? DEL,06:10,08:55,2h 45m,non-stop,No info,8273
Multiple carriers,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,01:30 16 Jun,15h 30m,1 stop,No info,8510
Air India,6/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,12:00,07:40 07 Jun,19h 40m,2 stops,No info,8603
Air India,6/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,12:00,19:15,7h 15m,2 stops,No info,8603
SpiceJet,9/06/2019,Kolkata,Banglore,CCU ? KNU ? BLR,11:35,18:50,7h 15m,1 stop,No info,8479
Vistara,9/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,09:05 10 Jun,25h 55m,1 stop,No info,9397
Jet Airways,21/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,14:25 22 May,28h 50m,1 stop,In-flight meal not included,9314
Air India,12/06/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,16:40,19:15 13 Jun,26h 35m,2 stops,No info,9443
Jet Airways,27/06/2019,Banglore,Delhi,BLR ? DEL,08:20,11:20,3h,non-stop,No info,8016
Jet Airways,1/06/2019,Banglore,Delhi,BLR ? DEL,19:50,22:50,3h,non-stop,No info,8016
Vistara,9/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,22:40,15h 30m,1 stop,No info,7927
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,18:00 07 May,25h,1 stop,In-flight meal not included,9314
Air India,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,23:00,07:40 19 May,8h 40m,1 stop,No info,8372
Multiple carriers,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,08:45,19:15,10h 30m,1 stop,No info,8266
